iter	F1	Logloss
0	0.6911205547	0.6554688538
1	0.7147307521	0.6251467612
2	0.7343082115	0.5913829573
3	0.7389540126	0.5655702437
4	0.7474518686	0.5428174963
5	0.7558770344	0.5237508276
6	0.7627003838	0.5060929939
7	0.7679782904	0.4923424482
8	0.7719060524	0.481601386
9	0.7730448501	0.4724237674
10	0.774368231	0.4619812166
11	0.7801035336	0.4511130775
12	0.7820022497	0.4424801171
13	0.7855378397	0.4345046837
14	0.7855378397	0.4265152352
15	0.7892376682	0.4183720157
16	0.7958818263	0.4113292424
17	0.800714924	0.4040946741
18	0.8044642857	0.3976064945
19	0.8072369891	0.3928895612
20	0.8102564103	0.3874615276
21	0.8116651825	0.3825509934
22	0.8147818344	0.3782067374
23	0.8161175423	0.3736840794
24	0.820626806	0.3681317156
25	0.823424627	0.3641782923
26	0.8241049589	0.359187522
27	0.82689747	0.3552809209
28	0.8314108252	0.3506576142
29	0.8345132743	0.3459052084
30	0.8366533865	0.3411149131
31	0.8413153829	0.3381416121
32	0.8429169421	0.3354238957
33	0.8456287161	0.3312423065
34	0.8491104766	0.3284645213
35	0.8512505485	0.3249056614
36	0.8525021949	0.3221268452
37	0.8526893524	0.3191436395
38	0.8576426853	0.3162294938
39	0.8594535519	0.3127817254
40	0.8618881119	0.3090019233
41	0.8644400786	0.3061175698
42	0.8677271737	0.3032871451
43	0.8709466812	0.2994054317
44	0.8733984799	0.2965133817
45	0.8763020833	0.2937694344
46	0.8780911063	0.2904257846
47	0.8823529412	0.2873800895
48	0.8837913871	0.2842781195
49	0.8838918919	0.28195577
50	0.8873513514	0.2794815534
51	0.8882162162	0.2769183224
52	0.8896089868	0.2741112006
53	0.8911917098	0.2723600604
54	0.8930573523	0.2696554002
55	0.892626132	0.2670572909
56	0.8940568475	0.2648472844
57	0.8960619755	0.2631828221
58	0.8972926515	0.2607164833
59	0.9017167382	0.2580767856
60	0.9023554604	0.2561490995
61	0.9053938356	0.2538478842
62	0.9064840574	0.2515410656
63	0.9071856287	0.2503550707
64	0.9106037977	0.2474393911
65	0.9096346934	0.2448119213
66	0.9139693356	0.2424566237
67	0.9157805189	0.240771381
68	0.9175870858	0.2388835579
69	0.9195499894	0.2374448968
70	0.92095783	0.2359664524
71	0.9232395855	0.2335691894
72	0.9254487856	0.2314911217
73	0.9259337413	0.2295853136
74	0.9285864757	0.2274008829
75	0.9311723848	0.225756761
76	0.9336134454	0.2232751132
77	0.9336413272	0.2218760687
78	0.9367779878	0.2195834515
79	0.9389296957	0.2179378719
80	0.9404362416	0.2160898409
81	0.9428272251	0.2144367735
82	0.9436885074	0.2125675191
83	0.9449675664	0.2103189875
84	0.9462680326	0.2082541492
85	0.9492375183	0.2065013472
86	0.9498746867	0.2045558761
87	0.9517443075	0.2026711266
88	0.9526392656	0.2003269717
89	0.9545833333	0.1979631593
90	0.9560508227	0.1960822689
91	0.9582207441	0.1940414824
92	0.9593023256	0.1922113406
93	0.9599501971	0.191127857
94	0.9614427861	0.1896732526
95	0.9614427861	0.1877799152
96	0.9622876088	0.1862149518
97	0.9631622517	0.1844323317
98	0.9644039735	0.1824959648
99	0.9644039735	0.1816061065
100	0.9669284828	0.1802101754
101	0.9686468647	0.1782432238
102	0.9684210526	0.176963487
103	0.9692720148	0.1752252754
104	0.9709577755	0.1734333325
105	0.9728506787	0.171530821
106	0.9738951696	0.1700667285
107	0.975579725	0.168981711
108	0.9763811871	0.1667724962
109	0.9772307692	0.1655406025
110	0.9770303527	0.1643881324
111	0.978060283	0.1628927431
112	0.9784791966	0.1613777768
113	0.979307519	0.1601672955
114	0.9805367753	0.1582909009
115	0.9817809621	0.156705647
116	0.9817734999	0.1557101757
117	0.9826069163	0.1544451144
118	0.9826069163	0.1531990309
119	0.9830161653	0.1522261306
120	0.9842567982	0.1512875812
121	0.9846719804	0.1501408652
122	0.9852820932	0.1487153594
123	0.9852820932	0.1475844123
124	0.9858982219	0.1460362831
125	0.9871454805	0.1439712877
126	0.9877600979	0.1428883649
127	0.9881680947	0.1417628447
128	0.9879567259	0.140586694
129	0.9883697205	0.1398433595
130	0.9898042414	0.1384116093
131	0.9906199021	0.1374960314
132	0.9906084116	0.1360980332
133	0.9914285714	0.1349296869
134	0.9916343603	0.1339835739
